brand_rank,brand_name,country,sales
1,比亚迪,中国,877309
2,大众,德国,790220
3,丰田,日本,640454
4,本田,日本,414617
5,长安,中国,387351
6,吉利,中国,329045
7,五菱汽车,中国,290377
8,奔驰,德国,252339
9,日产,日本,240108
10,奥迪,德国,229493
11,特斯拉,美国,219893
12,宝马,德国,217630
13,别克,美国,196507
14,广汽埃安,中国,166323
15,哈弗,中国,164661
16,奇瑞,中国,144183
17,广汽传祺,中国,132614
18,红旗,中国,124160
19,理想,中国,103840
20,现代,韩国,103242
21,长安欧尚,中国,78925
22,凯迪拉克,美国,71535
23,雪佛兰,美国,65264
24,福特,美国,64078
25,捷达,德国,63535
26,荣威,中国,62656
27,领克,中国,61392
28,捷途,中国,54948
29,沃尔沃,瑞典,53414
30,腾势,中国,45534
31,蔚来,中国,43744
32,哪吒汽车,中国,42505
33,东风风神,中国,42339
34,坦克,中国,41971
35,名爵,中国,37626
36,思皓,中国,37033
37,起亚,韩国,33394
38,小鹏汽车,中国,32815
39,极氪,中国,32013
40,深蓝汽车,中国,31872
41,零跑汽车,中国,31293
42,欧拉,中国,28859
43,启辰,中国,27946
44,吉利几何,中国,25695
45,北京汽车,中国,24915
46,马自达,日本,24686
47,奔腾,中国,24518
48,林肯,美国,24151
49,东风风行,中国,21602
50,smart,德国,19711
51,凯翼,中国,19100
52,AITO,中国,18135
53,雪铁龙,法国,15456
54,标致,法国,15363
55,SWM斯威汽车,中国,14873
56,北京,中国,14119
57,星途,中国,13416
58,路虎,英国,13008
59,岚图汽车,中国,12024
60,东风风光,中国,11715
61,三菱,日本,11652
62,魏牌,中国,11160
63,斯柯达,捷克,10509
64,东风EV新能源,中国,10507
65,上汽大通MAXUS,中国,10214
66,合创,中国,9068
67,阿维塔,中国,9002
68,捷豹,英国,8272
69,智己,中国,7783
70,海马,中国,7280
71,ARCFOX极狐,中国,6557
72,大运汽车,中国,6552
73,瑞风汽车,中国,6476
74,睿蓝汽车,中国,6440
75,凌宝汽车,中国,6236
76,SRM鑫源,中国,6081
77,创维汽车,中国,5456
78,长安凯程,中国,5365
79,国金汽车,中国,5350
80,飞凡汽车,中国,4900
81,金杯新能源,中国,3730
82,宝骏,中国,3224
83,英菲尼迪,日本,3188
84,曹操汽车,中国,3078
85,北汽制造,中国,2674
86,SERES赛力斯,中国,2121
87,江铃集团新能源,中国,1833
88,中国重汽,中国,1755
89,江淮,中国,1490
90,思铭,中国,1483
91,电动屋,中国,1113
92,蓝电,中国,1109
93,新宝骏,中国,548
94,东南,中国,512
95,东风富康,中国,486
96,小虎,中国,475
97,广汽集团,中国,367
98,天际汽车,中国,359
99,江淮钇为,中国,348
100,DS,法国,301
101,爱驰,中国,111
102,讴歌,日本,109
103,理念,中国,81
104,开瑞,中国,76
105,观致,中国,23
106,福汽启腾,中国,14
107,雷丁,中国,1
